city,contact_name,country,lastextracted,latitude,longitude,objectkey,retailer_name,spider_name,state,store_email,store_id,store_name,store_phone,store_url,street_address,zip_code
Wheaton,,United States,2023-02-19 11:04:09.053010,39.03916996641919,-77.05015809866376,None:(301) 933-0436,Safeway,scrapy/safeway,MD,,(301) 933-0436,Safeway Georgia Ave,(301) 933-0436,https://local.safeway.com/safeway/md/wheaton/11201-georgia-ave.html,11201 Georgia Ave,20902
Mililani,,United States,2023-02-19 11:04:09.094989,21.44204920092012,-158.02266061305994,None:(808) 623-8111,Safeway,scrapy/safeway,HI,,(808) 623-8111,Safeway Meheula Pkwy,(808) 623-8111,https://local.safeway.com/safeway/hi/mililani/94-780b-meheula-pkwy.html,94-780B Meheula Pkwy,96789
Westminster,,United States,2023-02-19 11:04:09.128047,39.58597168389368,-77.01328410540827,None:(410) 871-1200,Safeway,scrapy/safeway,MD,,(410) 871-1200,Safeway Wmc Dr,(410) 871-1200,https://local.safeway.com/safeway/md/westminster/444-wmc-dr--116.html,444 WMC Dr #116,21158
Walkersville,,United States,2023-02-19 11:04:09.162956,39.4851073,-77.341715,None:(301) 845-2844,Safeway,scrapy/safeway,MD,,(301) 845-2844,Safeway Walkers Village Way,(301) 845-2844,https://local.safeway.com/safeway/md/walkersville/151-walkers-village-way.html,151 Walkers Village Way,21793
Winslow,,United States,2023-02-19 11:04:09.226565,35.03682091581218,-110.69967100370482,None:(928) 289-3126,Safeway,scrapy/safeway,AZ,,(928) 289-3126,Safeway Park Dr,(928) 289-3126,https://local.safeway.com/safeway/az/winslow/1601-n-park-dr.html,1601 N Park Dr,86047
Willcox,,United States,2023-02-19 11:04:09.261896,32.263180568334974,-109.84233053060962,None:(520) 384-3952,Safeway,scrapy/safeway,AZ,,(520) 384-3952,Safeway Bisbee Ave,(520) 384-3952,https://local.safeway.com/safeway/az/willcox/650-n-bisbee-ave.html,650 N Bisbee Ave,85643
Reno,,United States,2023-02-19 11:04:09.345737,39.5308423,-119.8671408,None:(775) 746-9000,Safeway,scrapy/safeway,NV,,(775) 746-9000,Safeway Mae Anne Ave,(775) 746-9000,https://local.safeway.com/safeway/nv/reno/5150-mae-anne-ave.html,5150 Mae Anne Ave,89523
Reno,,United States,2023-02-19 11:04:09.381090,39.4251595753735,-119.7385618351654,None:(775) 332-0910,Safeway,scrapy/safeway,NV,,(775) 332-0910,Safeway Damonte Ranch Pkwy,(775) 332-0910,https://local.safeway.com/safeway/nv/reno/1031-steamboat-pkwy.html,1031 Steamboat Pkwy,89521
Williams,,United States,2023-02-19 11:04:09.417990,35.2481612,-112.1943061,None:(928) 635-0500,Safeway,scrapy/safeway,AZ,,(928) 635-0500,Safeway W Route 66,(928) 635-0500,https://local.safeway.com/safeway/az/williams/637-w-route-66.html,637 W Route 66,86046
Rancho Cordova,,United States,2023-02-19 11:04:09.526730,38.5953415,-121.2933838,None:(916) 364-4940,Safeway,scrapy/safeway,CA,,(916) 364-4940,Safeway Folsom Blvd,(916) 364-4940,https://local.safeway.com/safeway/ca/rancho-cordova/10635-folsom-blvd.html,10635 Folsom Blvd,95670
Quincy,,United States,2023-02-19 11:04:09.566595,39.936777843257445,-120.93753634692803,None:(530) 283-1404,Safeway,scrapy/safeway,CA,,(530) 283-1404,Safeway Main St,(530) 283-1404,https://local.safeway.com/safeway/ca/quincy/20-e-main-st.html,20 E Main St,95971
Woodbridge,,United States,2023-02-19 11:04:09.599535,38.6747661,-77.3349351,None:(703) 590-1057,Safeway,scrapy/safeway,VA,,(703) 590-1057,Safeway Merchant Plaza,(703) 590-1057,https://local.safeway.com/safeway/va/woodbridge/4240-merchant-plaza.html,4240 Merchant Plaza,22192
Woodbridge,,United States,2023-02-19 11:04:09.626463,38.67737123400608,-77.28125904852732,None:(703) 494-8858,Safeway,scrapy/safeway,VA,,(703) 494-8858,Safeway Old Bridge Rd,(703) 494-8858,https://local.safeway.com/safeway/va/woodbridge/2205-old-bridge-rd.html,2205 Old Bridge Rd,22192
Vacaville,,United States,2023-02-19 11:04:09.728163,38.362202962465275,-121.96175136560667,None:(707) 452-7277,Safeway,scrapy/safeway,CA,,(707) 452-7277,Safeway Harbison Dr,(707) 452-7277,https://local.safeway.com/safeway/ca/vacaville/2090-harbison-dr.html,2090 Harbison Dr,95687
Union City,,United States,2023-02-19 11:04:09.768084,37.587601187689195,-122.01944207909851,None:(510) 429-9090,Safeway,scrapy/safeway,CA,,(510) 429-9090,Safeway Decoto Rd,(510) 429-9090,https://local.safeway.com/safeway/ca/union-city/1790-decoto-rd.html,1790 Decoto Rd,94587
Ukiah,,United States,2023-02-19 11:04:09.815868,39.14451498176883,-123.20601046085358,None:(707) 467-2700,Safeway,scrapy/safeway,CA,,(707) 467-2700,Safeway State St,(707) 467-2700,https://local.safeway.com/safeway/ca/ukiah/653-s-state-st.html,653 S State St,95482
Windsor,,United States,2023-02-19 11:04:09.859747,38.55170104778972,-122.806303,None:(707) 837-2000,Safeway,scrapy/safeway,CA,,(707) 837-2000,Safeway Brooks Rd,(707) 837-2000,https://local.safeway.com/safeway/ca/windsor/9080-brooks-rd.html,9080 Brooks Rd,95492
Willits,,United States,2023-02-19 11:04:10.017757,39.4035389,-123.3497464,None:(707) 459-5862,Safeway,scrapy/safeway,CA,,(707) 459-5862,Safeway Main St,(707) 459-5862,https://local.safeway.com/safeway/ca/willits/845-s-main-st.html,845 S Main St,95490
Turlock,,United States,2023-02-19 11:04:10.072443,37.5209567,-120.8835037,None:(209) 669-2725,Safeway,scrapy/safeway,CA,,(209) 669-2725,Safeway Countryside Dr,(209) 669-2725,https://local.safeway.com/safeway/ca/turlock/3051-countryside-dr.html,3051 Countryside Dr,95380
Waldorf,,United States,2023-02-19 11:04:10.104934,38.62699652183416,-76.91712687123982,None:(301) 632-5680,Safeway,scrapy/safeway,MD,,(301) 632-5680,Safeway Waldorf Market Pl,(301) 632-5680,https://local.safeway.com/safeway/md/waldorf/3051-waldorf-market-pl.html,3051 Waldorf Market Pl,20603
Truckee,,United States,2023-02-19 11:04:10.140839,39.32726798116469,-120.20650429999999,None:(530) 582-7950,Safeway,scrapy/safeway,CA,,(530) 582-7950,Safeway Donner Pass Rd,(530) 582-7950,https://local.safeway.com/safeway/ca/truckee/11290-donner-pass-rd.html,11290 Donner Pass Rd,96161
Waldorf,,United States,2023-02-19 11:04:10.178727,38.60266915709837,-76.9012767377717,None:(301) 843-2825,Safeway,scrapy/safeway,MD,,(301) 843-2825,Safeway King St,(301) 843-2825,https://local.safeway.com/safeway/md/waldorf/10-king-st.html,10 King St,20602
Oakland,,United States,2023-02-19 11:04:10.280040,37.834873607229355,-122.24861882083206,None:(510) 285-0782,Safeway,scrapy/safeway,CA,,(510) 285-0782,Safeway Broadway,(510) 285-0782,https://local.safeway.com/safeway/ca/oakland/5100-broadway.html,5100 Broadway,94611
Oakland,,United States,2023-02-19 11:04:10.347859,37.8505799880469,-122.2521212852501,None:(510) 985-0012,Safeway,scrapy/safeway,CA,,(510) 985-0012,Safeway College Ave,(510) 985-0012,https://local.safeway.com/safeway/ca/oakland/6310-college-ave.html,6310 College Ave,94618
Oakland,,United States,2023-02-19 11:04:10.379628,37.79832307832353,-122.18244194984436,None:(510) 531-0565,Safeway,scrapy/safeway,CA,,(510) 531-0565,Safeway Redwood Rd,(510) 531-0565,https://local.safeway.com/safeway/ca/oakland/4100-redwood-rd.html,4100 Redwood Rd,94619
Redding,,United States,2023-02-19 11:04:10.430243,40.57661656378324,-122.38495239259034,None:(530) 247-3030,Safeway,scrapy/safeway,CA,,(530) 247-3030,Safeway Pine St,(530) 247-3030,https://local.safeway.com/safeway/ca/redding/2275-pine-st.html,2275 Pine St,96001
Redding,,United States,2023-02-19 11:04:10.474125,40.572696,-122.3511975,None:(530) 226-5871,Safeway,scrapy/safeway,CA,,(530) 226-5871,Safeway E Cypress Ave,(530) 226-5871,https://local.safeway.com/safeway/ca/redding/1070-e-cypress-ave.html,1070 E Cypress Ave,96002
Redwood City,,United States,2023-02-19 11:04:10.512025,37.46568,-122.2253797,None:(650) 365-2522,Safeway,scrapy/safeway,CA,,(650) 365-2522,Safeway Woodside Rd,(650) 365-2522,https://local.safeway.com/safeway/ca/redwood-city/850-woodside-rd.html,850 Woodside Rd,94061
Redwood City,,United States,2023-02-19 11:04:10.549923,37.484634518618435,-122.23044996315821,None:(650) 306-1900,Safeway,scrapy/safeway,CA,,(650) 306-1900,Safeway El Camino Real,(650) 306-1900,https://local.safeway.com/safeway/ca/redwood-city/1071-el-camino-real.html,1071 El Camino Real,94063
Oakland,,United States,2023-02-19 11:04:10.662902,37.801328897628615,-122.21548637605743,None:(510) 530-7067,Safeway,scrapy/safeway,CA,,(510) 530-7067,Safeway Fruitvale Ave,(510) 530-7067,https://local.safeway.com/safeway/ca/oakland/3550-fruitvale-ave.html,3550 Fruitvale Ave,94602
Livermore,,United States,2023-02-19 11:04:10.705792,37.6951811,-121.7428648,None:(925) 455-2520,Safeway,scrapy/safeway,CA,,(925) 455-2520,Safeway First St,(925) 455-2520,https://local.safeway.com/safeway/ca/livermore/4495-first-st.html,4495 First St,94551
Livermore,,United States,2023-02-19 11:04:10.739120,37.6804056,-121.7771987,None:(925) 455-5667,Safeway,scrapy/safeway,CA,,(925) 455-5667,Safeway First St,(925) 455-5667,https://local.safeway.com/safeway/ca/livermore/1554-first-st.html,1554 First St,94550
Tracy,,United States,2023-02-19 11:04:10.783002,37.740177951249535,-121.44947939259033,None:(209) 830-2950,Safeway,scrapy/safeway,CA,,(209) 830-2950,Safeway W 11th St,(209) 830-2950,https://local.safeway.com/safeway/ca/tracy/1801-w-11th-st.html,1801 W 11th St,95376
Tahoe City,,United States,2023-02-19 11:04:10.812923,39.17331653461841,-120.13682174047547,None:(530) 583-2772,Safeway,scrapy/safeway,CA,,(530) 583-2772,Safeway Lake Blvd,(530) 583-2772,https://local.safeway.com/safeway/ca/tahoe-city/850-n-lake-blvd.html,850 N Lake Blvd,96145
Oakland,,United States,2023-02-19 11:04:10.844994,37.81728308865214,-122.24568750555726,None:(510) 465-4187,Safeway,scrapy/safeway,CA,,(510) 465-4187,Safeway Grand Ave,(510) 465-4187,https://local.safeway.com/safeway/ca/oakland/3747-grand-ave.html,3747 Grand Ave,94610
Susanville,,United States,2023-02-19 11:04:10.874910,40.40600486012466,-120.63454985618591,None:(530) 257-2029,Safeway,scrapy/safeway,CA,,(530) 257-2029,Safeway Main St,(530) 257-2029,https://local.safeway.com/safeway/ca/susanville/2970-main-st.html,2970 Main St,96130
Oakland,,United States,2023-02-19 11:04:10.927767,37.825454,-122.2088815938484,None:(510) 482-2266,Safeway,scrapy/safeway,CA,,(510) 482-2266,Safeway Mountain Blvd,(510) 482-2266,https://local.safeway.com/safeway/ca/oakland/2096-mountain-blvd.html,2096 Mountain Blvd,94611
Santa Cruz,,United States,2023-02-19 11:04:10.994589,36.96142208167954,-122.0452125251312,None:(831) 420-0781,Safeway,scrapy/safeway,CA,,(831) 420-0781,Safeway Mission St,(831) 420-0781,https://local.safeway.com/safeway/ca/santa-cruz/2203-mission-st.html,2203 Mission St,95060
Santa Cruz,,United States,2023-02-19 11:04:11.033073,36.982118922681956,-122.00743138591383,None:(831) 426-7489,Safeway,scrapy/safeway,CA,,(831) 426-7489,Safeway Morrissey Blvd,(831) 426-7489,https://local.safeway.com/safeway/ca/santa-cruz/117-morrissey-blvd.html,117 Morrissey Blvd,95062
Santa Rosa,,United States,2023-02-19 11:04:11.070972,38.42578152558107,-122.66847968101501,None:(707) 524-4646,Safeway,scrapy/safeway,CA,,(707) 524-4646,Safeway Yulupa Ave,(707) 524-4646,https://local.safeway.com/safeway/ca/santa-rosa/2785-yulupa-ave.html,2785 Yulupa Ave,95405
Santa Rosa,,United States,2023-02-19 11:04:11.103858,38.45090215717838,-122.69103169441223,None:(707) 522-1455,Safeway,scrapy/safeway,CA,,(707) 522-1455,Safeway Fourth St,(707) 522-1455,https://local.safeway.com/safeway/ca/santa-rosa/2751-4th-st.html,2751 4th St,95405
Santa Rosa,,United States,2023-02-19 11:04:11.145772,38.4636712,-122.7174085,None:(707) 569-3100,Safeway,scrapy/safeway,CA,,(707) 569-3100,Safeway Mendocino Ave,(707) 569-3100,https://local.safeway.com/safeway/ca/santa-rosa/2300-mendocino-ave.html,2300 Mendocino Ave,95403
Santa Rosa,,United States,2023-02-19 11:04:11.190652,38.4520504,-122.7528692,None:(707) 528-3062,Safeway,scrapy/safeway,CA,,(707) 528-3062,Safeway Marlow Rd,(707) 528-3062,https://local.safeway.com/safeway/ca/santa-rosa/1799-marlow-rd.html,1799 Marlow Rd,95401
Santa Rosa,,United States,2023-02-19 11:04:11.222567,38.446687,-122.7415005,None:(707) 546-6877,Safeway,scrapy/safeway,CA,,(707) 546-6877,Safeway College Ave,(707) 546-6877,https://local.safeway.com/safeway/ca/santa-rosa/1211-w-college-ave.html,1211 W College Ave,95401
Santa Rosa,,United States,2023-02-19 11:04:11.333829,38.4656483,-122.6516644,None:(707) 539-1711,Safeway,scrapy/safeway,CA,,(707) 539-1711,Safeway Calistoga Rd,(707) 539-1711,https://local.safeway.com/safeway/ca/santa-rosa/100-calistoga-rd.html,100 Calistoga Rd,95409
Walnut Creek,,United States,2023-02-19 11:04:11.369734,37.928198058500485,-122.03934247605743,None:(925) 937-8537,Safeway,scrapy/safeway,CA,,(925) 937-8537,Safeway Bancroft Rd,(925) 937-8537,https://local.safeway.com/safeway/ca/walnut-creek/710-bancroft-rd.html,710 Bancroft Rd,94598
Walnut Creek,,United States,2023-02-19 11:04:11.441542,37.89810801953052,-122.05667209014359,None:(925) 935-9205,Safeway,scrapy/safeway,CA,,(925) 935-9205,Safeway S Broadway,(925) 935-9205,https://local.safeway.com/safeway/ca/walnut-creek/600-s-broadway.html,600 S Broadway,94596
Walnut Creek,,United States,2023-02-19 11:04:11.480465,37.92724842930093,-122.01854825019836,None:(925) 948-2283,Safeway,scrapy/safeway,CA,,(925) 948-2283,Safeway Ygnacio Valley Rd,(925) 948-2283,https://local.safeway.com/safeway/ca/walnut-creek/2800-ygnacio-valley-rd.html,2800 Ygnacio Valley Rd,94598
Walnut Creek,,United States,2023-02-19 11:04:11.512353,37.878372271150006,-122.07190946505762,None:(925) 939-7213,Safeway,scrapy/safeway,CA,,(925) 939-7213,Safeway Tice Valley Blvd,(925) 939-7213,https://local.safeway.com/safeway/ca/walnut-creek/1972-tice-valley-blvd.html,1972 Tice Valley Blvd,94595
Vallejo,,United States,2023-02-19 11:04:11.552300,38.1255108,-122.2266398,None:(707) 554-8035,Safeway,scrapy/safeway,CA,,(707) 554-8035,Safeway Admiral Callaghan Ln,(707) 554-8035,https://local.safeway.com/safeway/ca/vallejo/774-admiral-callaghan-ln.html,774 Admiral Callaghan Ln,94591
Vallejo,,United States,2023-02-19 11:04:11.589229,38.09907058221986,-122.23058278895492,None:(707) 643-2172,Safeway,scrapy/safeway,CA,,(707) 643-2172,Safeway Lincoln Rd W,(707) 643-2172,https://local.safeway.com/safeway/ca/vallejo/709-lincoln-rd-w.html,709 Lincoln Rd W,94590
Vallejo,,United States,2023-02-19 11:04:11.628097,38.08454853201613,-122.21023030957667,None:(707) 554-4467,Safeway,scrapy/safeway,CA,,(707) 554-4467,Safeway Robles Dr,(707) 554-4467,https://local.safeway.com/safeway/ca/vallejo/122-robles-dr.html,122 Robles Dr,94591
Soquel,,United States,2023-02-19 11:04:11.736834,36.98610863019925,-121.96328401565552,None:(831) 477-7212,Safeway,scrapy/safeway,CA,,(831) 477-7212,Safeway 41st St,(831) 477-7212,https://local.safeway.com/safeway/ca/soquel/2720-41st-ave.html,2720 41st Ave,95073
Saratoga,,United States,2023-02-19 11:04:11.788697,37.2812192,-122.03125,None:(408) 867-0180,Safeway,scrapy/safeway,CA,,(408) 867-0180,Safeway Saratoga Sunnyvale Rd,(408) 867-0180,https://local.safeway.com/safeway/ca/saratoga/12876-saratoga-sunnyvale-rd.html,12876 Saratoga Sunnyvale Rd,95070
South Lake Tahoe,,United States,2023-02-19 11:04:11.835543,38.943972449916686,-119.96733705581971,None:(530) 542-7740,Safeway,scrapy/safeway,CA,,(530) 542-7740,Safeway Johnson Ln,(530) 542-7740,https://local.safeway.com/safeway/ca/south-lake-tahoe/1020-johnson-ln.html,1020 Johnson Ln,96150
Sonora,,United States,2023-02-19 11:04:11.914826,37.9736938,-120.362001,None:(209) 533-7810,Safeway,scrapy/safeway,CA,,(209) 533-7810,Safeway Sanguinetti Rd,(209) 533-7810,https://local.safeway.com/safeway/ca/sonora/1291-sanguinetti-rd.html,1291 Sanguinetti Rd,95370
Sonoma,,United States,2023-02-19 11:04:11.973359,38.2915431,-122.4676758,None:(707) 996-0633,Safeway,scrapy/safeway,CA,,(707) 996-0633,Safeway W Napa St,(707) 996-0633,https://local.safeway.com/safeway/ca/sonoma/477-w-napa-st.html,477 W Napa St,95476
Sebastopol,,United States,2023-02-19 11:04:12.011258,38.4044915,-122.8270553,None:(707) 823-1101,Safeway,scrapy/safeway,CA,,(707) 823-1101,Safeway N Main St,(707) 823-1101,https://local.safeway.com/safeway/ca/sebastopol/406-n-main-st.html,406 N Main St,95472
Scotts Valley,,United States,2023-02-19 11:04:12.043173,37.04622938856273,-122.03105004164172,None:(831) 438-7431,Safeway,scrapy/safeway,CA,,(831) 438-7431,Safeway Mt Hermon Rd,(831) 438-7431,https://local.safeway.com/safeway/ca/scotts-valley/253-mt-hermon-rd.html,253 Mt Hermon Rd,95066
Sunnyvale,,United States,2023-02-19 11:04:12.195793,37.35723278833769,-122.01772089814759,None:(408) 481-3300,Safeway,scrapy/safeway,CA,,(408) 481-3300,Safeway E El Camino Real,(408) 481-3300,https://local.safeway.com/safeway/ca/sunnyvale/785-e-el-camino-real.html,785 E El Camino Real,94087
Sunnyvale,,United States,2023-02-19 11:04:12.234689,37.372791221290946,-122.05811724973753,None:(408) 732-5900,Safeway,scrapy/safeway,CA,,(408) 732-5900,Safeway Bernardo Ave,(408) 732-5900,https://local.safeway.com/safeway/ca/sunnyvale/639-s-bernardo-ave.html,639 S Bernardo Ave,94087
Sunnyvale,,United States,2023-02-19 11:04:12.272588,37.364657646310704,-122.03071244662705,None:(408) 732-1259,Safeway,scrapy/safeway,CA,,(408) 732-1259,Safeway El Camino Real,(408) 732-1259,https://local.safeway.com/safeway/ca/sunnyvale/150-e-el-camino-real.html,150 E El Camino Real,94087
San Anselmo,,United States,2023-02-19 11:04:12.378587,37.980704,-122.5641412,None:(415) 456-9157,Safeway,scrapy/safeway,CA,,(415) 456-9157,Safeway Sir Francis Drake,(415) 456-9157,https://local.safeway.com/safeway/ca/san-anselmo/838-sir-francis-drake.html,838 Sir Francis Drake,94960
Saint Helena,,United States,2023-02-19 11:04:12.412031,38.50588872958853,-122.46810604722137,None:(707) 968-3620,Safeway,scrapy/safeway,CA,,(707) 968-3620,Safeway Hunt Ave,(707) 968-3620,https://local.safeway.com/safeway/ca/saint-helena/1026-hunt-ave.html,1026 Hunt Ave,94574
Rohnert Park,,United States,2023-02-19 11:04:12.468852,38.3475707,-122.7083386,None:(707) 584-8942,Safeway,scrapy/safeway,CA,,(707) 584-8942,Safeway Commerce Blvd,(707) 584-8942,https://local.safeway.com/safeway/ca/rohnert-park/6340-commerce-blvd.html,6340 Commerce Blvd,94928
South San Francisco,,United States,2023-02-19 11:04:12.569061,37.65555572895225,-122.43162319825387,None:(650) 952-8867,Safeway,scrapy/safeway,CA,,(650) 952-8867,Safeway Chestnut Ave,(650) 952-8867,https://local.safeway.com/safeway/ca/south-san-francisco/30-chestnut-ave.html,30 Chestnut Ave,94080
South San Francisco,,United States,2023-02-19 11:04:12.602000,37.64658654528197,-122.45203378413086,None:(650) 588-9005,Safeway,scrapy/safeway,CA,,(650) 588-9005,Safeway Gellert Blvd,(650) 588-9005,https://local.safeway.com/safeway/ca/south-san-francisco/2255-gellert-blvd.html,2255 Gellert Blvd,94080
